date,sentiment
Tue Sep 17 01:51:53 +0000 2019,positive
,
Tue Sep 17 01:51:55 +0000 2019,positive
,
Tue Sep 17 01:51:57 +0000 2019,neutral
,
Tue Sep 17 01:51:57 +0000 2019,positive
,
Tue Sep 17 01:51:59 +0000 2019,neutral
,
Tue Sep 17 01:52:01 +0000 2019,positive
,
Tue Sep 17 01:52:02 +0000 2019,neutral
,
Tue Sep 17 01:52:04 +0000 2019,positive
,
Tue Sep 17 01:52:07 +0000 2019,positive
,
Tue Sep 17 01:52:07 +0000 2019,neutral
,
Tue Sep 17 01:52:08 +0000 2019,positive
,
Tue Sep 17 01:52:09 +0000 2019,neutral
,
Tue Sep 17 01:52:13 +0000 2019,positive
,
Tue Sep 17 01:52:14 +0000 2019,negative
,
Tue Sep 17 01:52:14 +0000 2019,positive
,
Tue Sep 17 01:52:22 +0000 2019,positive
